title,plot,ratings,date,total_reviews
The One Where Ross Can't Flirt,"As Joey's grandmother visits to watch him on TV, Ross has trouble flirting with the pizza delivery girl, and Rachel tries to find an earring of Monica's that she has misplaced.",8.7,22 Apr. 1999,"-4,349"
The One with the Ride Along,The guys go on a ride-along with Gary. Rachel accidentally deletes a message from Emily on Ross's answering machine.,8.2,29 Apr. 1999,"-3,917"
The One with the Ball,"Gary asks Phoebe to move in with him but she's reluctant to and to overcome boredom, Ross and Joey start throwing a ball to each other. Rachel buys an expensive cat but it doesn't behave as she hoped it would.",8.4,06-May-99,"-4,062"
The One with Joey's Big Break,"Joey drives to Las Vegas to shoot a new movie where he is in the lead role. Rachel gets an eye infection but is reluctant to seek treatment because of her eye phobia. Phoebe is mad at Ross, but doesn't know why.",8.2,11-May-99,"-3,878"
The One in Vegas: Part 1,The gang go to Las Vegas to visit Joey. Chandler is angry when he finds out Monica had lunch with Richard. Ross and Rachel try to embarrass each other after an awkward encounter.,8.8,20-May-99,"-4,420"
The One in Vegas: Part 2,Chandler and Monica reconcile and hastily decide to get married. Ross and Rachel get drunk and roam the casino. Phoebe deals with a 'lurker' on the slot machines.,9.1,20-May-99,"-5,012"
The One After Vegas,Ross and Rachel deal with the aftermath of their drunken escapade. Phoebe and Joey take a road trip back to New York in Phoebe's grandmother's cab. Monica and Chandler ponder the idea of marriage.,8.7,23 Sep. 1999,"-4,314"
The One Where Ross Hugs Rachel,Monica and Chandler try to tell Rachel and Joey that they're moving in together. Phoebe thinks that Ross didn't get the annulment because he still loves Rachel.,8.2,30 Sep. 1999,"-3,905"
The One with Ross's Denial,Ross tries to deny he still has feelings for Rachel. Joey interviews for a new roommate. Monica and Chandler argue over what to do with the spare room when they move in together.,8.1,7 Oct. 1999,"-3,851"
The One Where Joey Loses His Insurance,"Joey's health benefits lapse just as he develops a hernia. Ross is given a professorship at NYU and eager to impress his students, he puts on a fake English accent.",8.5,14 Oct. 1999,"-4,027"
The One with Joey's Porsche,"Ross and Rachel try to get an annulment, Joey finds the keys to a porsche in Central Perk, and Phoebe, Monica and Chandler babysit the triplets.",8.1,21 Oct. 1999,"-3,928"
The One on the Last Night,"On the last night before Chandler and Monica move in together, Monica and Rachel argue, and Chandler tries to give Joey money to help him pay the bills.",8.5,4 Nov. 1999,"-3,974"
The One Where Phoebe Runs,Rachel is embarrassed by Phoebe's odd running style. Joey gets a new roommate. Chandler tries to impress Monica by cleaning the apartment but forgets how everything is supposed to look.,8.3,11 Nov. 1999,"-3,992"
The One with Ross' Teeth,Ross goes too far while trying to impress a date by over-whitening his teeth. Rachel uses gossip to get her boss to like her after Phoebe supposedly makes out with Ralph Lauren.,8.5,18 Nov. 1999,"-4,149"
